x,y,dow
229438.69797421733,6755046.546961326,1.499999999999994
333412.295890411,6812112.931506849,1.4999999999999947
495759.43781094527,6757519.189054727,1.4999999999999962
384888.0955137481,6693087.214182344,0.0
432150.4669603524,6854207.533039648,0.0
628004.7982456142,6925487.666666667,0.0
438024.32051282056,7435609.179487179,0.4999999999999999
531602.3539823008,7072785.017699115,0.4999999999999999
564190.9523809524,7297759.166666667,0.4999999999999999
217369.44278606965,6801815.472636816,-1.5000000000000027
433059.2894736843,7426501.552631579,-1.5000000000000002
619389.3699421964,6880014.739884393,-1.5000000000000036
308798.8862275449,7028624.652694611,-1.5000000000000036
221478.812749004,6809552.9521912355,-0.9999999999999962
449491.0067567565,6747743.043918919,-0.9999999999999963
557423.2608695652,7130875.057971015,-0.5000000000000026
222102.3092369478,6807585.983935743,0.9999999999999893
417632.9390243902,7399808.426829268,0.9999999999999994
429514.2577777776,6907657.319999999,1.4999999999999958
554222.5057471265,7131248.402298851,1.5000000000000002
639721.3577235771,6940431.081300813,1.4999999999999982
311448.9358974359,6772364.647435897,0.0
505260.93264248694,6766748.284974094,0.0
419059.7375,7194679.8625,0.5000000000000036
640731.7264150946,6950848.811320755,0.4999999999999999
239324.34931506845,6715033.609589041,-1.4999999999999996
235799.57480314962,6979968.590551181,-1.5000000000000024
534072.4864864864,7016834.54954955,-1.5000000000000016
379873.9819944599,6690966.08033241,-1.0000000000000229
425652.9289617486,7225762.251366121,-0.9999999999999961
301569.38,6704357.955,-0.5000000000000022
458625.5199161427,6797743.427672956,-0.500000000000003
430244.52054794517,7449063.876712329,-0.5000000000000029
555461.5151515153,7328946.121212121,-0.5000000000000002
620488.25,6895305.993421053,-0.5000000000000051
234061.62328767125,6984308.47260274,0.9999999999999979
430793.793220339,6843660.027118644,0.9999999999999876
408936.77777777775,7072114.50617284,0.9999999999999994
392229.4134615385,7098580.163461539,1.4999999999999991
423918.07792207797,7230999.883116882,1.4999999999999958
234581.1824034335,6760360.7789699575,0.0
417109.12083333335,7234671.533333333,0.0
382875.59854014614,6687976.064650678,0.4999999999999937
255369.3868613138,6715619.941605839,0.5000000000000049
425740.12322274887,6914670.293838862,0.5000000000000031
526292.6923076925,6910787.115384615,0.5000000000000007
431247.24731182796,6921949.349462366,-1.5000000000000036
564714.9215686276,7295543.431372549,-1.5000000000000002
320667.32625994703,6806593.124668435,-1.0000000000000038
372130.3106796116,7086093.223300971,-0.9999999999999969
559468.8265306123,7187354.183673469,-0.999999999999997
228757.55648535566,6908882.359832636,-0.4999999999999984
300526.10256410256,7024076.948717949,-0.5000000000000029
384751.3153611395,6689669.804679552,1.0000000000000127
303616.03208556154,7027974.042780749,0.9999999999999934
425747.74860335194,7215979.480446927,0.999999999999994
307727.93617021275,6695832.276595744,1.4999999999999962
278246.01169590646,6805966.339181286,1.4999999999999967
234907.45945945944,6984266.952702703,1.4999999999999971
527244.7761904763,6983522.514285714,1.499999999999996
527531.0727272728,7027086.381818182,0.0
546999.1132075472,7354563.226415094,0.0
322440.62849872763,6813156.13740458,0.5000000000000048
221007.16896551722,6818397.044827586,0.500000000000004
279742.60350877186,7011618.8771929825,0.500000000000004
332783.6384839651,6812952.804664723,-1.4999999999999987
423517.15865384624,7203969.264423077,-1.5000000000000024
273020.3718411553,7006068.534296028,-0.9999999999999966
443748.9047619047,7442611.083333334,-0.9999999999999973
386047.50588235306,6687672.593582888,-0.49999999999999145
236422.68337129842,6739041.927107061,-0.5000000000000002
416750.6008403361,7204497.802521008,-0.4999999999999984
252593.44367816084,6715128.0,0.9999999999999969
536546.12,7389787.46,1.0000000000000007
546076.8879310344,6803810.913793104,0.9999999999999987
564344.9625000001,7123123.325,0.9999999999999994
638000.3833333331,6930979.4,0.9999999999999987
383166.69912472635,6686693.530634574,1.4999999999999936
305851.77075098816,7018097.916996048,1.4999999999999953
430024.5135135136,6747293.204633204,1.4999999999999953
432607.1315789473,7465047.815789474,1.5000000000000002
570583.3298969071,6798665.4845360825,1.4999999999999996
561149.1388888889,7326345.527777778,1.5000000000000002
278321.1505791506,7005137.799227798,0.0
459536.07715133525,6742340.231454005,0.5000000000000044
570113.3086419754,6782576.580246913,0.4999999999999999
386980.791013584,6689573.017763846,-1.4999999999999947
303222.23863636365,6693394.096590909,-1.5000000000000038
281507.7957746479,6805493.063380281,-1.5000000000000029
468931.4319526626,6754823.878698225,-1.4999999999999987
258019.67724867718,6713324.846560846,-1.0000000000000038
425212.1764705883,6920023.576470588,-0.9999999999999961
532721.7651515151,6792925.5,-0.9999999999999966
527361.0454545454,6976975.85064935,-0.999999999999996
635278.4181818181,6935075.081818182,-0.9999999999999969
330123.68306010927,6821354.142076503,-0.49999999999999345
516461.3602484473,6977482.105590062,-0.5000000000000051
319652.43805309734,6804008.5265486725,0.9999999999999979
484564.5135135135,6735646.454054054,0.9999999999999936
522826.2181818179,6982933.5212121215,0.9999999999999956
