X,Y,Day
560835.6991643454,7355158.172903417,2.000000000000002
480226.53600000014,6905586.332322764,6.000000000000005
426957.0740037951,7828184.867876434,0.9999999999999931
396652.632884479,6772420.050696596,1.0000000000000329
380904.64385297836,6746961.472123589,6.000000000000001
295316.6675824177,7435726.856196881,6.000000000000005
450008.03692307713,7955539.231162166,2.0000000000000027
417797.3227370693,6838481.862367917,4.999999999999989
276174.97933409864,7127599.019725508,4.000000000000007
287329.37499999994,7412767.037674957,2.0000000000000027
522111.9336650084,7227351.096066432,0.9999999999999927
354603.9020737328,6862277.91829117,3.000000000000042
291327.8346456694,7010445.145030093,6.000000000000007
431023.63720452203,7593514.929889245,2.999999999999992
246935.31034482757,6866342.004855456,2.0000000000000018
460162.9329073482,7910105.055499408,7.0
479572.0970654626,6888040.167152494,4.000000000000005
270633.28284278535,7011474.030498637,4.999999999999995
518670.289079229,7282497.720998805,4.000000000000005
437655.6132723113,7870227.269085877,4.000000000000005
249840.0980810234,6814622.205802361,6.000000000000006
340097.2339276066,6841136.005988066,7.0
344249.63374485605,6763186.488857847,3.9999999999999853
267215.9406645568,7007343.270784498,1.0000000000000275
381667.04226705094,6741142.829409125,2.000000000000001
570646.8436482085,7353947.746571678,6.000000000000004
425436.29073033715,7308311.756704705,7.0
462406.3268839106,7650844.264894798,4.999999999999999
354619.603515625,7062044.593716097,2.0000000000000013
484888.4802955664,6898664.407338899,2.0000000000000018
450329.13333333336,7974899.74914499,6.000000000000004
424377.2331606218,7222958.7640217235,6.000000000000001
