NumOfCluster,Cost
2,11185.370070502238
12,4534.287434950056
22,3358.574056790231
32,2519.003662854446
42,2115.7941875273514
52,1868.4650045086432
62,1656.335824712648
72,1498.9352266556689
82,1354.5651396521407
92,1287.465202929467
102,1160.6650994424529
112,1108.158319577538
122,1032.3256171820456
132,977.3948034886141
142,958.6685739742328
152,881.2409221377872
162,840.5286658089822
172,823.1394011471593
182,779.1218971718785
192,756.110919353644
202,736.6206267164474
212,712.3952667511762
222,690.7737831503904
232,677.1551050017379
242,655.6947674198425
252,643.6801376236663
262,637.7680776054891
272,618.2829019448436
282,590.8255100628132
292,583.4442126608321
302,576.2783747360976
