x;y
381518.2273361227;6679897.778242677
342459.023255814;6690533.116279069
330527.28813559323;6706129.983050847
251809.8522727273;6792121.693181818
228829.4948453608;6818582.546391753
222645.3991507431;6827405.305732484
213764.6935483871;6836869.338709678
290151.34545454546;6880799.672727273
253078.0;6968718.32
432575.01369863027;6764514.684931507
454763.8275862069;6848197.0
436590.45360824734;6940594.340206185
441663.3673469388;6992658.87755102
424925.8787878788;7249282.03030303
411579.5945945946;7283227.0
395878.4285714285;7323634.785714285
411270.9285714285;7338479.5
529623.1927710844;6999118.566265061
552569.125;7342165.375
513656.1666666667;7452563.583333333
496922.1276595744;6759038.617021277
632742.3333333333;7001321.416666667
531222.9333333333;6714986.633333334
234988.08780487807;6714996.6487804875
226193.64285714284;6736973.816326531
214789.76923076925;6810794.948717949
383359.4;7176135.876923077
381534.0416666667;6829719.708333333
552203.8095238096;6972369.047619048
281454.3263157895;6806522.2105263155
269845.2857142857;6829985.367346939
238359.49315068492;6782957.2602739725
395184.22580645164;6993410.903225807
529007.8181818182;7261909.454545455
358856.7272727273;7375353.136363637
346691.375;7589068.75
528625.5454545454;6910430.681818182
298023.0743801653;6656239.429752066
414621.1515151515;7067815.3939393945
489237.4;7042273.533333333
352822.88;7080357.04
346411.5681818182;6668231.159090909
283725.4166666667;6676456.361111111
421519.1818181818;7000475.454545455
488533.08;7007360.28
546529.0;7192327.6875
414192.06666666665;7453329.933333334
502007.6363636363;7330189.2727272725
396946.0454545454;7131127.136363637
489731.6;7075831.0
237504.1896551724;6693420.172413793
221457.91304347824;6684629.9130434785
195842.91428571427;6727843.085714286
620499.6470588236;6974077.647058824
609896.6666666666;7187660.0
372637.0035971224;6675752.697841726
335204.5473684211;6675854.431578947
288286.9340101523;6702415.1116751265
263151.6373626373;6704037.252747253
318573.5728155341;6746655.6213592235
301683.9393939394;6762057.848484849
339633.03883495147;6791509.242718447
327984.9230769231;6820192.085239085
314773.5793650794;6821711.142857143
234959.11538461538;7005264.8
393531.91054313106;6693560.444089456
396577.57142857136;6710003.357142857
408770.68055555556;6727021.027777778
448291.3157894737;6877830.368421053
443835.44186046504;7112624.4186046515
436585.25;7164930.464285715
429041.23465703975;7211788.046931408
423865.18918918935;7227628.175675675
484150.8125;7473791.895833334
509224.27272727265;7654369.090909091
495893.25;7728934.75
480644.7096774194;6813729.580645162
498401.73809523805;6824023.619047619
514106.95424836595;6839497.183006536
525643.125;6839709.71875
543880.6203703706;6912860.055555556
590997.0833333333;7247297.375
593227.7692307692;7343554.769230769
519674.4807692307;7402178.346153846
464116.5731707317;6750376.37804878
660654.8750000001;6909894.875
654256.2500000001;6938191.78125
578896.2272727273;7048244.590909091
417886.52054794517;6691746.630136986
426075.0630630628;6696470.540540541
511357.55555555556;6716822.466666667
299763.775;7060328.125
351779.1666666666;7126298.166666667
411804.60465116275;7177970.5813953485
262527.92045454547;6734064.909090909
343163.24271844653;6819679.553398058
580129.0312499999;6948675.28125
601236.6800000002;6961667.28
606094.7037037036;6931794.814814814
514321.1999999999;6811379.625
608241.8333333333;6860016.083333333
490860.6578947368;6732376.513157895
297060.15;7009024.583333333
246855.55555555556;6868970.916666667
348072.3513513514;6883341.081081081
506654.5;6907841.742857143
370320.5633802817;6710909.394366197
381371.2028985508;7102905.7536231885
421309.08108108107;7107716.378378378
197372.48760330578;6752526.570247934
389805.30000000005;7398329.2
531562.9130434783;7041979.0869565215
211662.42857142858;6682513.428571428
258411.9047619048;6676423.523809524
208612.9076923077;6734424.784615384
198305.48571428572;6769714.228571429
250198.62903225806;6753819.903225807
578209.0;7724369.0
309599.3448275862;6692142.068965517
277301.0;6721102.3
292416.546875;6779682.328125
279144.68518518517;6774735.407407408
268584.82608695654;6790963.252173913
237180.03278688522;6804574.196721312
344282.61666666676;6760941.433333334
322259.6632124352;6823021.202072538
318159.41772151896;6834702.898734177
303899.8888888889;6822035.987654321
295024.02;6845536.25
447670.48387096776;7063087.451612903
389708.96907216485;7294187.597938145
472799.99999999994;7396182.111111111
496892.85714285716;7544753.428571429
534341.1836734693;6975351.155102041
597486.543478261;7313909.282608695
482360.614361702;6750161.35106383
533309.3529411765;6767106.294117647
608020.3448275862;7044796.75862069
565378.2987012988;7110045.714285715
495274.4527559056;6706924.409448819
546958.6153846155;6723792.538461538
218712.63157894736;6788144.280701755
222983.75;6945929.931818182
224772.3541666667;6984464.5
277692.81967213115;7043258.672131147
288035.8235294118;7067170.320261438
328078.7045454546;7091693.590909091
267269.76;6758058.28
282672.44859813084;6752189.906542056
315369.71428571426;6776808.311688311
406687.388235294;6861978.964705883
623215.846153846;6941621.115384615
308137.7571428572;6729965.528571429
400879.89795918367;6755462.755102041
443307.679245283;6750561.0
371739.27777777775;7020208.75
506007.09523809527;6861316.80952381
571775.857142857;6869872.714285715
599049.1250000001;6863106.430555556
619338.0;6871546.333333333
382263.125;6909608.5
404482.75;6907054.55
361083.0769230769;7542226.230769231
327142.77358490566;6896069.905660377
311242.20999999996;6663265.77
478398.947368421;7058741.7894736845
466326.6923076923;7113060.923076923
249805.27586206896;6928849.689655173
373809.5853658536;6880182.87804878
205818.6274509804;6954248.392156863
664843.7391304348;6979402.434782608
702592.5294117647;6942324.94117647
432578.0;7410123.9
569786.4210526317;7422803.368421053
430503.70833333343;6812354.083333333
617631.0;7325199.5
194843.6;6685823.4
242683.31914893616;6713682.310638298
239297.90339892663;6711166.729874777
378042.83625731;6698201.34502924
327851.52238805965;6792881.626865672
278936.26470588235;6932008.44117647
263930.5641025641;6948147.487179487
250231.22857142857;6999633.485714286
388771.55864197534;6683638.307098766
393901.50964187307;6678353.221763086
423994.9157894737;6740707.589473684
449080.22388059704;6784968.52238806
453873.13953488367;6800378.186046512
443033.625;6908454.572916667
434132.2756410261;6900164.444444445
428814.34523809527;6916626.523809524
431672.2058823529;7029938.029411765
427711.11111111107;7357455.666666667
444182.6162162161;7375762.7675675675
531623.2105263157;6869209.052631579
511896.51999999996;7045248.366666666
440508.12903225806;6705125.20967742
459858.0555555557;6707357.788888889
552895.5161290324;6763018.129032258
564594.5428571431;6768768.028571429
579246.076923077;6775148.115384615
596582.0526315789;6788380.705263158
627003.896551724;6828661.655172414
659872.3846153845;6887112.256410256
404661.97058823524;6688195.5
229198.36641221377;6719278.610687023
213101.82954545456;6760828.8977272725
205404.44670050763;6788928.020304568
213158.87692307692;6916053.815384615
262271.4;7020536.125
304176.44;7080271.32
310971.05472636817;7083518.776119403
370171.74074074073;7149257.444444444
333077.94354838715;6821201.552419355
359355.1475409836;6843207.639344262
502673.6341463414;6950132.146341464
633875.7272727272;6946376.0227272725
677418.4324324324;6903946.6486486485
294187.88157894736;6739380.657894737
383601.4;6775405.2
291609.29591836734;6815036.714285715
244547.2162162162;6823144.3513513515
332812.8142857143;7044714.857142857
412199.3214285714;6954700.892857143
483383.7083333334;6873282.458333333
328594.89285714284;6994631.571428572
344486.9268292682;6995929.780487805
346363.92000000004;6942113.4
480295.3571428571;7256047.642857143
372004.2903225807;7306884.338709678
288937.8;7622996.4
558916.9090909091;6911557.863636363
406072.5357142857;6808553.5
277535.8695652174;6644338.108695652
400312.52083333326;7082094.0625
652177.6000000001;7023046.92
672607.9375;6936396.5625
625455.3611111111;7115886.916666667
597407.2499999999;7124911.65
472215.12499999994;7319768.0625
411836.875;7515894.45
459582.8;7686772.9
219282.29787234042;6715899.723404256
445627.4705882353;7258093.411764706
359514.90588235285;6670697.870588236
355425.0833333334;6693072.6
252045.90625;6715899.666666667
245236.41830065357;6706215.359477124
352311.98148148146;6723006.648148148
385528.88596491236;6673796.966261809
