X,Y,prediction
229958,6816943,0
229806,6817162,0
229790,6817185,0
229679,6817343,0
229622,6817425,0
229211,6818014,0
229212,6818013,0
228615,6818871,0
228594,6818900,0
228571,6818932,0
228530,6818993,0
228464,6819089,0
228423,6819147,0
227210,6820558,0
226318,6821533,0
226165,6821738,0
226117,6821779,0
225098,6823162,0
225077,6823168,0
224563,6823915,0
224511,6824016,0
223142,6825813,0
221501,6827271,0
220719,6828038,0
220663,6828159,0
220593,6828349,0
220557,6828466,0
220540,6828575,0
220515,6828606,0
220418,6828737,0
220039,6828963,0
219479,6829474,0
218227,6830621,0
217642,6831157,0
217507,6831280,0
216540,6832166,0
216490,6832213,0
216140,6832535,0
216097,6832574,0
215740,6832900,0
214529,6834093,0
214224,6834414,0
212785,6835872,0
212660,6835982,0
211021,6838402,0
210941,6838557,0
210938,6838562,0
210927,6838583,0
210696,6838994,0
209659,6840031,0
383569,6676475,0
383570,6676485,0
383591,6676538,0
383593,6676552,0
383691,6676807,0
384163,6678019,0
384160,6678043,0
383986,6678820,0
383904,6679009,0
383709,6679468,0
383636,6679646,0
383608,6679674,0
383501,6679962,0
383438,6680108,0
383400,6680163,0
383330,6680362,0
383302,6680393,0
383108,6680885,0
383041,6681044,0
382991,6681161,0
382972,6681205,0
382828,6681541,0
382652,6681925,0
382448,6682823,0
382432,6682861,0
382441,6682983,0
382433,6683187,0
382399,6683612,0
382322,6683798,0
382288,6683833,0
382175,6684170,0
382164,6684211,0
382045,6684577,0
382024,6684696,0
381823,6685358,0
381737,6685579,0
381690,6685726,0
381604,6685850,0
381584,6685924,0
381538,6685976,0
381453,6686194,0
381417,6686284,0
381005,6687049,0
380990,6687186,0
380942,6687601,0
380929,6687711,0
380895,6687884,0
380900,6687943,0
380815,6688148,0
380766,6688271,0
380630,6688505,0
380557,6688626,0
380380,6688964,0
380315,6689073,0
380270,6689117,0
380251,6689182,0
380231,6689215,0
380177,6689273,0
380125,6689394,0
379970,6689659,0
379838,6689920,0
379812,6689936,0
379583,6690843,0
379149,6692304,0
379146,6692437,0
379106,6692674,0
379122,6692683,0
379080,6693062,0
379077,6693355,0
379279,6694555,0
379286,6694673,0
379362,6694850,0
379568,6696326,0
379549,6697220,0
379811,6698211,0
380225,6700142,0
380718,6701894,0
380893,6702247,0
380914,6702293,0
381435,6703628,0
381440,6703645,0
381532,6704071,0
381632,6704374,0
381786,6706457,0
381790,6706692,0
381778,6706930,0
381910,6709529,0
381828,6710488,0
381785,6710869,0
381344,6714476,0
381043,6715361,0
380563,6716193,0
379593,6718230,0
379355,6719152,0
379374,6719684,0
379479,6720243,0
379666,6721024,0
379785,6721276,0
380072,6722487,0
380169,6723244,0
379775,6726131,0
377938,6728901,0
377592,6729358,0
377162,6730013,0
377158,6730077,0
376848,6730868,0
376784,6730990,0
376782,6731080,0
376514,6732388,0
376405,6733097,0
376323,6733287,0
376345,6733300,0
376313,6733400,0
